ExpId: ingmar
StartTime: 1431368261013
EndTime: 1431368321077
DataLength: 213
SaveLocation: ./_data/arduino/ingmar
SaveName: ingmar_1431368261013.txt

timestamp	time	led1	led2	led3	led4
1431368300548	39535	153	64	0	0
1431368300564	39551	152	60	0	0
1431368300582	39569	153	57	0	0
1431368300600	39587	152	53	0	0
1431368300617	39604	156	49	0	0
1431368300635	39622	157	46	0	0
1431368300654	39641	157	46	0	0
1431368300671	39658	157	36	0	0
1431368300687	39674	155	32	0	0
1431368300704	39691	156	28	0	0
1431368300721	39708	156	25	0	0
1431368300737	39724	157	21	0	0
1431368300756	39743	157	18	0	0
1431368300781	39768	155	14	0	0
1431368300853	39840	155	14	0	0
1431368300948	39935	160	14	0	0
1431368301462	40449	160	18	0	0
1431368301478	40465	157	18	0	0
1431368307677	46664	157	21	0	0
1431368307696	46683	156	25	0	0
1431368307710	46697	156	28	0	0
1431368307725	46712	157	36	0	0
1431368307743	46730	152	42	0	0
1431368307761	46748	148	49	0	0
1431368307778	46765	138	60	0	0
1431368307796	46783	130	70	0	0
1431368307813	46800	127	81	0	0
1431368307829	46816	125	89	0	0
1431368307846	46833	120	91	0	0
1431368307863	46850	116	95	0	0
1431368307881	46868	113	99	0	0
1431368307898	46885	110	106	0	0
1431368307914	46901	106	113	0	0
1431368307931	46918	99	120	0	0
1431368307947	46934	93	128	0	0
1431368307965	46952	89	131	0	0
1431368307981	46968	84	134	0	0
1431368307999	46986	81	141	0	0
1431368308015	47002	78	146	0	0
1431368308032	47019	78	149	0	0
1431368308049	47036	74	151	0	0
1431368308068	47055	71	156	0	0
1431368308084	47071	70	158	0	0
1431368308102	47089	67	163	0	0
1431368308120	47107	64	167	0	0
1431368308137	47124	64	175	0	0
1431368308153	47140	60	176	0	0
1431368308170	47157	53	181	0	0
1431368308188	47175	49	187	0	0
1431368308205	47192	46	194	0	0
1431368308223	47210	42	194	0	0
1431368308239	47226	39	198	0	0
1431368308256	47243	35	201	0	0
1431368308273	47260	32	202	0	0
1431368308349	47336	28	202	0	0
1431368308349	47336	21	203	0	0
1431368308349	47336	25	202	0	0
1431368308352	47339	18	201	0	0
1431368308366	47353	14	201	0	0
1431368308384	47371	11	201	0	0
1431368308402	47389	7	201	0	0
1431368308418	47405	4	201	0	0
1431368308435	47422	0	201	0	0
1431368308453	47440	0	201	7	0
1431368308491	47478	0	201	7	0
1431368308540	47527	0	199	7	0
1431368308573	47560	0	194	7	0
1431368308591	47578	0	196	11	0
1431368308607	47594	0	191	11	0
1431368310755	49742	0	191	7	0
1431368310788	49775	0	191	7	0
1431368310827	49814	0	191	4	0
1431368311996	50983	0	191	0	0
1431368312021	51008	4	191	0	0
1431368312043	51030	7	191	0	0
1431368312364	51351	11	191	0	0
1431368314611	53598	7	191	0	0
1431368314627	53614	4	191	0	0
1431368314646	53633	0	191	4	0
1431368314662	53649	0	191	7	0
1431368314679	53666	0	191	11	0
1431368314698	53685	0	191	14	0
1431368314764	53751	0	190	18	0
1431368314797	53784	0	190	21	0
1431368314828	53815	0	192	25	0
1431368315227	54214	0	190	21	0
1431368315619	54606	0	190	18	0
1431368320519	59506	0	191	14	0
1431368320535	59522	0	191	11	0
1431368320552	59539	0	191	7	0
1431368320569	59556	0	191	4	0
1431368320686	59673	0	191	0	0
1431368320704	59691	0	194	0	0
1431368320728	59715	0	194	0	0
1431368320751	59738	4	194	0	0
1431368320769	59756	4	199	0	0
1431368321076	60063	0	0	0	0
